package,protocol,requested,resolved
"@babel/runtime","npm","^7.17.8","7.24.5"
"@babel/runtime","npm","^7.20.1","7.24.5"
"@babel/runtime","npm","^7.21.0","7.25.6"
"@babel/runtime","npm","^7.22.10","7.24.5"
"@babel/runtime","npm","^7.22.5","7.24.5"
"@babel/runtime","npm","^7.23.2","7.24.5"
"@babel/runtime","npm","^7.23.8","7.24.5"
"@babel/runtime","npm","^7.24.1","7.24.5"
"@babel/runtime","npm","^7.5.5","7.24.5"
"@babel/runtime","npm","^7.8.4","7.24.5"
"@babel/runtime","npm","^7.9.2","7.24.5"
"@babel/template","npm","^7.20.7","7.24.0"
"@babel/template","npm","^7.22.15","7.24.0"
"@babel/template","npm","^7.24.0","7.24.0"
"@babel/template","npm","^7.24.7","7.25.0"
"@babel/template","npm","^7.25.0","7.25.0"
"@babel/template","npm","^7.3.3","7.24.0"
"@babel/traverse","npm","^7.14.0","7.25.6"
"@babel/traverse","npm","^7.18.9","7.24.5"
"@babel/traverse","npm","^7.24.5","7.24.5"
"@babel/traverse","npm","^7.24.7","7.25.6"
"@babel/traverse","npm","^7.24.8","7.25.6"
"@babel/traverse","npm","^7.25.0","7.25.6"
"@babel/traverse","npm","^7.25.1","7.25.6"
"@babel/traverse","npm","^7.25.2","7.25.6"
"@babel/traverse","npm","^7.25.4","7.25.6"
"@babel/traverse","npm","7.25.6","7.25.6"
"@babel/types","npm","^7.0.0","7.24.5"
"@babel/types","npm","^7.18.9","7.24.5"
"@babel/types","npm","^7.20.7","7.24.5"
"@babel/types","npm","^7.21.3","7.24.5"
"@babel/types","npm","^7.21.5","7.24.5"
"@babel/types","npm","^7.22.15","7.24.5"
"@babel/types","npm","^7.22.5","7.24.5"
"@babel/types","npm","^7.23.0","7.24.5"
"@babel/types","npm","^7.23.4","7.24.5"
"@babel/types","npm","^7.24.0","7.24.5"
"@babel/types","npm","^7.24.5","7.24.5"
"@babel/types","npm","^7.24.7","7.25.6"
"@babel/types","npm","^7.24.8","7.25.6"
"@babel/types","npm","^7.25.0","7.25.6"
"@babel/types","npm","^7.25.2","7.25.6"
"@babel/types","npm","^7.25.6","7.25.6"
"@babel/types","npm","^7.3.3","7.24.5"
"@babel/types","npm","^7.4.4","7.24.5"
"@babel/types","npm","^7.8.3","7.24.5"
"@babel/types","npm","7.25.6","7.25.6"
"@base2/pretty-print-object","npm","1.0.1","1.0.1"
"@bcoe/v8-coverage","npm","^0.2.3","0.2.3"
"@bundled-es-modules/cookie","npm","^2.0.0","2.0.0"
"@bundled-es-modules/statuses","npm","^1.0.1","1.0.1"
"@cfaester/enzyme-adapter-react-18","npm","^0.8.0","0.8.0"
"@changesets/apply-release-plan","npm","^7.0.0","7.0.0"
"@changesets/assemble-release-plan","npm","^6.0.0","6.0.0"
"@changesets/changelog-git","npm","^0.2.0","0.2.0"
"@changesets/changelog-github","npm","^0.4.8","0.4.8"
"@changesets/cli","npm","^2.26.0","2.27.1"
"@changesets/config","npm","^3.0.0","3.0.0"
"@changesets/errors","npm","^0.2.0","0.2.0"
"@changesets/get-dependents-graph","npm","^2.0.0","2.0.0"
"@changesets/get-github-info","npm","^0.5.2","0.5.2"
"@changesets/get-release-plan","npm","^4.0.0","4.0.0"
"@changesets/get-version-range-type","npm","^0.4.0","0.4.0"
"@changesets/git","npm","^3.0.0","3.0.0"
"@changesets/logger","npm","^0.1.0","0.1.0"
"@changesets/parse","npm","^0.4.0","0.4.0"
"@changesets/pre","npm","^2.0.0","2.0.0"
"@changesets/read","npm","^0.6.0","0.6.0"
"@changesets/types","npm","^4.0.1","4.1.0"
"@changesets/types","npm","^5.2.1","5.2.1"
"@changesets/types","npm","^6.0.0","6.0.0"
"@changesets/write","npm","^0.3.0","0.3.0"
"@colors/colors","npm","^1.6.0","1.6.0"
"@colors/colors","npm","1.6.0","1.6.0"
"@cspotcode/source-map-support","npm","^0.8.0","0.8.1"
"@dabh/diagnostics","npm","^2.0.2","2.0.3"
"@dnd-kit/accessibility","npm","^3.1.0","3.1.0"
"@dnd-kit/core","npm","^6.1.0","6.1.0"
"@dnd-kit/sortable","npm","^8.0.0","8.0.0"
"@dnd-kit/utilities","npm","^3.2.2","3.2.2"
"@emotion/is-prop-valid","npm","1.2.2","1.2.2"
"@emotion/memoize","npm","^0.8.1","0.8.1"
"@emotion/unitless","npm","0.8.1","0.8.1"
"@emotion/use-insertion-effect-with-fallbacks","npm","^1.0.0","1.0.1"
"@esbuild/aix-ppc64","npm","0.19.12","0.19.12"
"@esbuild/aix-ppc64","npm","0.20.2","0.20.2"
"@esbuild/aix-ppc64","npm","0.21.5","0.21.5"
"@esbuild/aix-ppc64","npm","0.23.1","0.23.1"
"@esbuild/android-arm","npm","0.18.20","0.18.20"
"@esbuild/android-arm","npm","0.19.12","0.19.12"
"@esbuild/android-arm","npm","0.20.2","0.20.2"
"@esbuild/android-arm","npm","0.21.5","0.21.5"
"@esbuild/android-arm","npm","0.23.1","0.23.1"
"@esbuild/android-arm64","npm","0.18.20","0.18.20"
"@esbuild/android-arm64","npm","0.19.12","0.19.12"
"@esbuild/android-arm64","npm","0.20.2","0.20.2"
"@esbuild/android-arm64","npm","0.21.5","0.21.5"
"@esbuild/android-arm64","npm","0.23.1","0.23.1"
"@esbuild/android-x64","npm","0.18.20","0.18.20"
"@esbuild/android-x64","npm","0.19.12","0.19.12"
"@esbuild/android-x64","npm","0.20.2","0.20.2"
"@esbuild/android-x64","npm","0.21.5","0.21.5"
"@esbuild/android-x64","npm","0.23.1","0.23.1"
"@esbuild/darwin-arm64","npm","0.18.20","0.18.20"
"@esbuild/darwin-arm64","npm","0.19.12","0.19.12"
"@esbuild/darwin-arm64","npm","0.20.2","0.20.2"
"@esbuild/darwin-arm64","npm","0.21.5","0.21.5"
"@esbuild/darwin-arm64","npm","0.23.1","0.23.1"
"@esbuild/darwin-x64","npm","0.18.20","0.18.20"
"@esbuild/darwin-x64","npm","0.19.12","0.19.12"
"@esbuild/darwin-x64","npm","0.20.2","0.20.2"
"@esbuild/darwin-x64","npm","0.21.5","0.21.5"
"@esbuild/darwin-x64","npm","0.23.1","0.23.1"
"@esbuild/freebsd-arm64","npm","0.18.20","0.18.20"
"@esbuild/freebsd-arm64","npm","0.19.12","0.19.12"
"@esbuild/freebsd-arm64","npm","0.20.2","0.20.2"
"@esbuild/freebsd-arm64","npm","0.21.5","0.21.5"
"@esbuild/freebsd-arm64","npm","0.23.1","0.23.1"
"@esbuild/freebsd-x64","npm","0.18.20","0.18.20"
"@esbuild/freebsd-x64","npm","0.19.12","0.19.12"
"@esbuild/freebsd-x64","npm","0.20.2","0.20.2"
"@esbuild/freebsd-x64","npm","0.21.5","0.21.5"
"@esbuild/freebsd-x64","npm","0.23.1","0.23.1"
